# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testExp1

# Run progress: 0.00% complete, ETA 00:26:40
# Fork: 1 of 10
# Warmup Iteration   1: 78286.241 ops/s
# Warmup Iteration   2: 81580.147 ops/s
# Warmup Iteration   3: 81109.747 ops/s
# Warmup Iteration   4: 81183.719 ops/s
# Warmup Iteration   5: 80579.680 ops/s
# Warmup Iteration   6: 83157.315 ops/s
# Warmup Iteration   7: 83037.256 ops/s
# Warmup Iteration   8: 82926.468 ops/s
# Warmup Iteration   9: 82618.063 ops/s
# Warmup Iteration  10: 80922.564 ops/s
# Warmup Iteration  11: 81204.638 ops/s
# Warmup Iteration  12: 81264.252 ops/s
# Warmup Iteration  13: 80465.501 ops/s
# Warmup Iteration  14: 80543.633 ops/s
# Warmup Iteration  15: 83013.254 ops/s
# Warmup Iteration  16: 82932.487 ops/s
# Warmup Iteration  17: 78908.471 ops/s
# Warmup Iteration  18: 82015.690 ops/s
# Warmup Iteration  19: 81249.864 ops/s
# Warmup Iteration  20: 82903.773 ops/s
Iteration   1: 83032.108 ops/s
Iteration   2: 81525.981 ops/s
Iteration   3: 81290.394 ops/s
Iteration   4: 80751.138 ops/s
Iteration   5: 80456.217 ops/s
Iteration   6: 80812.035 ops/s
Iteration   7: 82696.162 ops/s
Iteration   8: 80551.912 ops/s
Iteration   9: 82333.886 ops/s
Iteration  10: 80190.515 ops/s
Iteration  11: 80922.620 ops/s
Iteration  12: 81347.247 ops/s
Iteration  13: 82936.722 ops/s
Iteration  14: 80819.591 ops/s
Iteration  15: 82865.331 ops/s
Iteration  16: 81137.115 ops/s
Iteration  17: 82064.810 ops/s
Iteration  18: 80586.676 ops/s
Iteration  19: 81840.210 ops/s
Iteration  20: 81213.401 ops/s

# Run progress: 2.50% complete, ETA 00:26:14
# Fork: 2 of 10
# Warmup Iteration   1: 73952.019 ops/s
# Warmup Iteration   2: 78819.809 ops/s
# Warmup Iteration   3: 78889.120 ops/s
# Warmup Iteration   4: 77407.202 ops/s
# Warmup Iteration   5: 78179.371 ops/s
# Warmup Iteration   6: 79544.801 ops/s
# Warmup Iteration   7: 79466.432 ops/s
# Warmup Iteration   8: 79330.932 ops/s
# Warmup Iteration   9: 75036.099 ops/s
# Warmup Iteration  10: 78155.235 ops/s
# Warmup Iteration  11: 79438.950 ops/s
# Warmup Iteration  12: 79386.961 ops/s
# Warmup Iteration  13: 78341.286 ops/s
# Warmup Iteration  14: 78145.709 ops/s
# Warmup Iteration  15: 79916.526 ops/s
# Warmup Iteration  16: 79873.131 ops/s
# Warmup Iteration  17: 79746.251 ops/s
# Warmup Iteration  18: 79320.524 ops/s
# Warmup Iteration  19: 79335.460 ops/s
# Warmup Iteration  20: 80013.104 ops/s
Iteration   1: 79964.198 ops/s
Iteration   2: 79580.335 ops/s
Iteration   3: 75573.759 ops/s
Iteration   4: 76385.298 ops/s
Iteration   5: 76972.298 ops/s
Iteration   6: 76572.877 ops/s
Iteration   7: 78791.579 ops/s
Iteration   8: 79022.586 ops/s
Iteration   9: 78976.524 ops/s
Iteration  10: 75970.849 ops/s
Iteration  11: 79513.013 ops/s
Iteration  12: 77748.692 ops/s
Iteration  13: 78668.777 ops/s
Iteration  14: 79208.340 ops/s
Iteration  15: 78964.585 ops/s
Iteration  16: 79822.904 ops/s
Iteration  17: 80030.678 ops/s
Iteration  18: 79557.862 ops/s
Iteration  19: 79560.198 ops/s
Iteration  20: 79986.197 ops/s

# Run progress: 5.00% complete, ETA 00:25:31
# Fork: 3 of 10
# Warmup Iteration   1: 73427.888 ops/s
# Warmup Iteration   2: 76698.040 ops/s
# Warmup Iteration   3: 76330.707 ops/s
# Warmup Iteration   4: 79423.105 ops/s
# Warmup Iteration   5: 79395.705 ops/s
# Warmup Iteration   6: 78862.240 ops/s
# Warmup Iteration   7: 79412.085 ops/s
# Warmup Iteration   8: 79204.650 ops/s
# Warmup Iteration   9: 79196.560 ops/s
# Warmup Iteration  10: 79315.344 ops/s
# Warmup Iteration  11: 79737.056 ops/s
# Warmup Iteration  12: 69946.410 ops/s
# Warmup Iteration  13: 79358.949 ops/s
# Warmup Iteration  14: 78673.745 ops/s
# Warmup Iteration  15: 79752.712 ops/s
# Warmup Iteration  16: 79586.638 ops/s
# Warmup Iteration  17: 79562.598 ops/s
# Warmup Iteration  18: 78839.833 ops/s
# Warmup Iteration  19: 79878.749 ops/s
# Warmup Iteration  20: 79861.386 ops/s
Iteration   1: 79784.930 ops/s
Iteration   2: 77017.138 ops/s
Iteration   3: 78096.264 ops/s
Iteration   4: 77468.057 ops/s
Iteration   5: 75457.256 ops/s
Iteration   6: 76869.952 ops/s
Iteration   7: 79135.378 ops/s
Iteration   8: 79112.602 ops/s
Iteration   9: 74725.955 ops/s
Iteration  10: 78944.203 ops/s
Iteration  11: 78946.694 ops/s
Iteration  12: 77558.400 ops/s
Iteration  13: 76054.855 ops/s
