"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.github.arnaudroger.re2j.JavaRegex.testCombine","thrpt",1,200,18098.176283,535.041730,"ops/s"
"com.github.arnaudroger.re2j.JavaRegex.testExp1","thrpt",1,200,81952.753259,394.544940,"ops/s"
"com.github.arnaudroger.re2j.JavaRegex.testExp2","thrpt",1,200,35473.872241,97.910904,"ops/s"
"com.github.arnaudroger.re2j.Re2jFindRegex.testCombine","thrpt",1,200,12038.432442,52.771518,"ops/s"
"com.github.arnaudroger.re2j.Re2jFindRegex.testExp1","thrpt",1,200,29642.948928,135.542749,"ops/s"
"com.github.arnaudroger.re2j.Re2jFindRegex.testExp2","thrpt",1,200,26968.653919,174.914756,"ops/s"
"com.github.arnaudroger.re2j.Re2jMatchRegex.testCombine","thrpt",1,200,5744.361710,48.547219,"ops/s"
"com.github.arnaudroger.re2j.Re2jMatchRegex.testExp1","thrpt",1,200,14651.635461,71.916385,"ops/s"
"com.github.arnaudroger.re2j.Re2jMatchRegex.testExp2","thrpt",1,200,10199.627076,42.740137,"ops/s"
