"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.github.arnaudroger.re2j.JavaRegex.testCombine","thrpt",1,200,19077.492394,601.093683,"ops/s"
"com.github.arnaudroger.re2j.JavaRegex.testExp1","thrpt",1,200,80948.348871,514.612430,"ops/s"
"com.github.arnaudroger.re2j.JavaRegex.testExp2","thrpt",1,200,35486.332917,66.538169,"ops/s"
"com.github.arnaudroger.re2j.Re2jFindRegex.testCombine","thrpt",1,200,9896.196727,33.150132,"ops/s"
"com.github.arnaudroger.re2j.Re2jFindRegex.testExp1","thrpt",1,200,26088.905983,122.068459,"ops/s"
"com.github.arnaudroger.re2j.Re2jFindRegex.testExp2","thrpt",1,200,20440.616439,142.554498,"ops/s"
"com.github.arnaudroger.re2j.Re2jMatchRegex.testCombine","thrpt",1,200,5203.283380,30.774669,"ops/s"
"com.github.arnaudroger.re2j.Re2jMatchRegex.testExp1","thrpt",1,200,13909.882096,182.925472,"ops/s"
"com.github.arnaudroger.re2j.Re2jMatchRegex.testExp2","thrpt",1,200,8912.758317,155.618228,"ops/s"
