"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.github.arnaudroger.re2j.JavaRegex.testCombine","thrpt",1,200,16739.044550,334.870266,"ops/s"
"com.github.arnaudroger.re2j.JavaRegex.testExp1","thrpt",1,200,64692.558262,339.672556,"ops/s"
"com.github.arnaudroger.re2j.JavaRegex.testExp2","thrpt",1,200,27975.280447,172.593462,"ops/s"
"com.github.arnaudroger.re2j.Re2jFindRegex.testCombine","thrpt",1,200,9307.323541,63.347672,"ops/s"
"com.github.arnaudroger.re2j.Re2jFindRegex.testExp1","thrpt",1,200,22421.399100,230.262418,"ops/s"
"com.github.arnaudroger.re2j.Re2jFindRegex.testExp2","thrpt",1,200,20411.228915,228.716914,"ops/s"
"com.github.arnaudroger.re2j.Re2jMatchRegex.testCombine","thrpt",1,200,4378.561110,41.010291,"ops/s"
"com.github.arnaudroger.re2j.Re2jMatchRegex.testExp1","thrpt",1,200,11769.499413,111.656263,"ops/s"
"com.github.arnaudroger.re2j.Re2jMatchRegex.testExp2","thrpt",1,200,7649.754747,79.405278,"ops/s"
